127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.095000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.429000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.069000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.172000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.175000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.192000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.203000
127.0.0.1, 2016-06-22 19:11:20, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.217000
